,word,frequency
1123,mix,1
1124,into,2
1125,skewer.,1
1126,Grill,1
1127,around,1
1128,5-10,1
1129,lemon,1
1130,juice,1
1131,garnish,1
1132,cream,2
1133,chutney,1
1134,#californiawalnuts,1
1135,#grill,1
1136,#malaichicken,1
1137,1.5,1
1138,3/4,1
1139,Curd,1
1140,Cream,1
1141,Methi,1
1142,Starch,1
1143,Finely,1
1144,Marinate,1
1145,walnuts.,1
1146,Place,1
1147,Remove,1
1148,again.,1
1149,Thread,1
1150,Squeeze,1
1151,coriander.,1
1152,#MakingEverydayHealthy,1
1153,#Gurugram,1
1154,@petitepieshop.in,2
1155,300,1
1156,types,1
1157,pastry-pie,1
1158,exists,1
1159,across,1
1160,cuisines?,1
1161,here,1
1162,they,2
1163,pie,1
1164,every,1
1165,mood.,1
1166,delicious,3
1167,fig,1
1168,almond,2
1169,tart,1
1170,"flaky,",1
1171,"warm,",1
1172,croissant,1
1173,sandwiches,1
1174,much,1
1175,more.,2
1176,opened,1
1177,their,7
1178,doors,2
1179,everyday,1
1180,8:00am,1
1181,10:00pm,1
1182,"dine-in,",1
1183,delivery,1
1184,takeaway,1
1185,😁,1
1186,foodtalkindia,10
1187,#NewInTown,3
1188,🥧,1
1189,Did,1
1190,@worldmarkgurgaon,1
1191,Open,1
1192,🍴,1
1193,14h,1
1194,#OnamSadhya,1
1195,dozen,1
1196,laid,2
1197,banana,2
1198,"leaf,",1
1199,Sadhya,2
1200,sensory,1
1201,experience,1
1202,sure.,1
1203,5,3
1204,places,1
1205,doing,6
1206,extravagant,2
1207,sadhya,1
1208,right:,1
1209,"@mahabelly,",1
1210,Delhi:,1
1211,Kerala,1
1212,restaurant,1
1213,cooking,1
1214,storm,1
1215,comprising,1
1216,22,1
1217,leaf.,1
1218,sure,1
1219,huge,1
1220,"@jwmarriottjuhu,",1
1221,Mumbai:,2
1222,Saffron,1
1223,JW,1
1224,Marriott,1
1225,sumptuous,1
1226,sadya,2
1227,transport,1
1228,straight,1
1229,God’s,1
1230,own,1
1231,"@naironfireindia,",1
1232,Experience,1
1233,majesty,1
1234,unique,1
1235,"@kckfoods,",1
1236,Bengaluru,1
1237,Chennai:,1
1238,spread,2
1239,arrives,1
1240,steel,1
1241,containers,1
1242,packed,3
1243,kind,1
1244,relative,1
1245,"@zambarofficial,",1
1246,Gurgaon:,1
1247,enticing,1
1248,lavish,1
1249,26,1
1250,dishes!,1
1251,you’re,1
1252,mood,1
1253,"feast,",1
1254,order,1
1255,#LetsTalk,1
1256,🍽,1
1257,Over,2
1258,🤤😍,1
1259,Hers,1
1260,1.,5
1261,appetite.,1
1262,country.,1
1263,3.,5
1264,@naironfireindia.,1
1265,4.,4
1266,5.,4
1267,"So,",1
1268,#Rakhi,2
1269,win,2
1270,brownie,1
1271,points,1
1272,Raksha,1
1273,Bandhan,1
1274,present,1
1275,"sibling,",1
1276,Look,1
1277,further!,1
1278,We've,1
1279,put,1
1280,guide,1
1281,task,1
1282,tad,1
1283,bit,1
1284,easier:,1
1285,@rosarte.chocolate,1
1286,offering,1
1287,exquisite,1
1288,selection,1
1289,Belgian,2
1290,single,1
1291,origin,1
1292,bakes,1
1293,Rosarte’s,1
1294,signature,2
1295,gift,8
1296,"boxes,",3
1297,hampers,2
1298,baskets!,1
1299,Location:,10
1300,@le15india,1
1301,wide,1
1302,range,2
1303,rakhi,4
1304,boxes,2
1305,yummy,1
1306,cupcakes,1
1307,macaroons.,1
1308,@tobehonestfoods,1
1309,cute,1
1310,nostalgic,1
1311,goodies,1
1312,hamper,2
1313,sibling,1
1314,trip,1
1315,down,1
1316,memory,1
1317,lane.,1
1318,Pan,1
1319,@caarafood,1
1320,limited,1
1321,edition,1
1322,edit,1
1323,collection,2
1324,brother,1
1325,sister,1
1326,collaboration,1
1327,@ikkis.21,1
1328,@holybelly_foodboutique,1
1329,gourmet,2
1330,classic,1
1331,French,1
1332,patisserie,1
1333,handcrafted,3
1334,breads,1
1335,dessert,1
1336,must,1
1337,haves.,1
1338,@theobromapatisserie,1
1339,assortment,1
1340,Mini,1
1341,"Brownies,",1
1342,along,1
1343,ceremonial,1
1344,"kumkum,",1
1345,rakhis.,1
1346,It’s,2
1347,stories,1
1348,pre-orders!,1
1349,"Mumbai,",1
1350,"NCR,",1
1351,Pune,1
1352,@miampatisserie,1
1353,designed,2
1354,box,5
1355,Rakhi,3
1356,you’ll,1
1357,"find,",1
1358,dark,2
1359,orange,1
1360,loaf,1
1361,"cake,",1
1362,salted,1
1363,caramel,1
1364,centred,1
1365,chip,2
1366,"cookies,",1
1367,pack,1
1368,granola.,1
1369,@krishicress,1
1370,loved,1
1371,ones,2
1372,created,1
1373,Gift,1
1374,each,2
1375,blue,1
1376,pottery,1
1377,rakhi!,1
1378,Location:Delhi,1
1379,@meethi_bywokintheclouds,1
1380,curated,2
1381,consist,1
1382,handpicked,1
1383,"rakhis,",1
1384,ornamental,1
1385,teeka,1
1386,"box,",1
1387,assorted,1
1388,mithai,1
1389,handmade,1
1390,drop,1
1391,chocolates,1
1392,gold,1
1393,glass,2
1394,jar.,1
1395,Head,1
1396,meethi.in,1
1397,place,2
1398,orders.,1
1399,@bili.hu.coffees,1
1400,x,2
1401,@darimafarms,1
1402,@pieassimpleas,1
1403,come,2
1404,Bili,1
1405,Hu,1
1406,Cold,1
1407,brew,1
1408,"bag,",1
1409,zarai,1
1410,gruyere,1
1411,"cheese,",1
1412,granola,1
1413,"Jar,",1
1414,cookies,4
1415,rakhis!,1
1416,#HotFind,2
1417,🎁,2
1418,Looking,1
1419,Delhi.,5
1420,Mumbai.,4
1421,India.,1
1422,6.,1
1423,Hyderabad.,1
1424,7.,1
1425,8.,1
1426,NCR.,2
1427,9.,1
1428,10.,1
1429,🤤#Potato,1
1430,"baked,",1
1431,"boiled,",1
1432,mashed,1
1433,"roasted,",1
1434,humble,1
1435,"potato,",1
1436,versatile,1
1437,vegetable,1
1438,never,1
1439,fails,1
1440,hit,1
1441,spot.,1
1442,Here,1
1443,few,1
1444,potato,1
1445,us,3
1446,scream,1
1447,BELOW,1
1448,AND,1
1449,TELL,1
1450,US,1
1451,YOUR,1
1452,"@pinterestindia
1d",1
1453,#FoodThatIsBetterThanSex,1
1454,😍🥔,1
1455,"Fried,",1
1456,delight!,1
1457,COMMENT,1
1458,FAVOURITES!,1
1459,📸:,1
1460,basic,1
1461,indulge,1
1462,cool,1
